measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Russian Federation,Female,All ages,Self-harm and interpersonal violence,Rate,1996,33.18132875646862,33.599658671477236,32.72776086127461
Deaths,Russian Federation,Male,All ages,Unintentional injuries,Rate,1997,101.55967345384458,102.79490980118983,98.18229576482652
Deaths,Russian Federation,Female,All ages,Unintentional injuries,Rate,1997,26.951150126054767,27.919402868307383,26.31248241278905
Deaths,Russian Federation,Male,All ages,Self-harm and interpersonal violence,Rate,1997,129.75695183143068,131.30941702972527,128.67280344948097
Deaths,Russian Federation,Female,All ages,Self-harm and interpersonal violence,Rate,1997,29.587433167695103,30.18460999428646,29.152612365962405
Deaths,Russian Federation,Male,All ages,Total cancers,Rate,1997,227.88574856672912,232.29174692192342,220.95088886193776
Deaths,Russian Federation,Female,All ages,Total cancers,Rate,1997,165.20303778247387,167.53853959238526,161.2648583316708
Deaths,Russian Federation,Male,All ages,All causes,Rate,1999,1578.6501274661014,1582.9383936438114,1574.3461950731387
Deaths,Russian Federation,Female,All ages,All causes,Rate,1999,1272.2185054078006,1276.522525192208,1267.9356555753934
Deaths,Russian Federation,Male,All ages,Total cancers,Rate,1999,236.92436884380913,240.91402312368385,232.85424112817074
Deaths,Russian Federation,Female,All ages,Total cancers,Rate,1999,169.99061129666583,172.25557643181375,165.84605637292884
Deaths,Russian Federation,Male,All ages,Transport injuries,Rate,1999,43.86451355294398,44.79994115618671,43.320371004070836
Deaths,Russian Federation,Female,All ages,Transport injuries,Rate,1999,13.756111170622116,13.953756739763877,13.549033733585981
Deaths,Russian Federation,Male,All ages,Unintentional injuries,Rate,1999,111.89454859737921,113.00564386966785,110.38006766004735
Deaths,Russian Federation,Female,All ages,Unintentional injuries,Rate,1999,28.92452908814217,29.495328813716554,28.36538107441324
Deaths,Russian Federation,Male,All ages,All causes,Rate,1998,1424.21759302215,1427.7223284462386,1420.7293207236712
Deaths,Russian Federation,Female,All ages,All causes,Rate,1998,1192.3342227752235,1196.36329168196,1188.2227855834203
Deaths,Russian Federation,Male,All ages,Unintentional injuries,Rate,1998,100.25533441325616,101.73890694482304,96.12682616613695
Deaths,Russian Federation,Female,All ages,Unintentional injuries,Rate,1998,26.646751373072355,27.52263790428452,25.95763278044505
Deaths,Russian Federation,Male,All ages,Self-harm and interpersonal violence,Rate,1998,127.21203399481426,129.1546295499527,125.98244579404135
Deaths,Russian Federation,Female,All ages,Self-harm and interpersonal violence,Rate,1998,28.850072249385143,29.58282814641302,28.382473079541498
Deaths,Russian Federation,Male,All ages,Total cancers,Rate,1998,222.4516431443541,227.12499668424854,213.71414539204233
Deaths,Russian Federation,Female,All ages,Total cancers,Rate,1998,162.65335677054935,165.50713378100426,158.19170346777648
Deaths,Russian Federation,Male,All ages,Transport injuries,Rate,1998,39.7866883600696,42.52705648700089,38.944906529506284
Deaths,Russian Federation,Female,All ages,Transport injuries,Rate,1998,12.568562657772292,13.117734641425708,12.286290144172652
