measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Russian Federation,Male,All ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,1999,85.4864645325725,87.21661165155983,83.90274251725458
Deaths,Russian Federation,Female,All ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,1999,27.65801779410563,28.705079825295595,26.96392944552684
Deaths,Russian Federation,Male,All ages,Injuries,Rate,1999,304.67652508099775,307.81957831060635,301.9345048287166
Deaths,Russian Federation,Female,All ages,Injuries,Rate,1999,77.04732279846291,78.42876477063031,75.8033100022383
Deaths,Russian Federation,Male,All ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,1997,74.12105823887092,75.90345426787172,71.35693012529426
Deaths,Russian Federation,Female,All ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,1997,26.25981779854862,27.415513881806746,25.553640485380612
Deaths,Russian Federation,Male,All ages,Injuries,Rate,1997,271.54699185680164,274.58922250116746,269.3272478246718
Deaths,Russian Federation,Female,All ages,Injuries,Rate,1997,69.07342910212017,70.57998809421699,67.9876391037757
Deaths,Russian Federation,Male,All ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2000,94.3672775094036,95.84899879088046,93.31459406107678
Deaths,Russian Federation,Female,All ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2000,28.775354877170475,29.801189340600395,28.15441607182917
Deaths,Russian Federation,Male,All ages,Injuries,Rate,2000,325.5560165620252,327.55637813767703,323.5294253710466
Deaths,Russian Federation,Female,All ages,Injuries,Rate,2000,79.50808661377978,80.42009116873128,78.4135715434172
Deaths,Russian Federation,Male,All ages,Total cancers,Rate,2001,243.984393612523,248.25188018063332,240.5601199673266
Deaths,Russian Federation,Female,All ages,Total cancers,Rate,2001,175.02999595132692,177.60655956141426,170.70713590060748
Deaths,Russian Federation,Male,All ages,Total cancers,Rate,1996,245.16281784744464,249.53765645150497,242.2572733527992
Deaths,Russian Federation,Female,All ages,Total cancers,Rate,1996,171.20257952143928,173.84341328886723,167.0206517061846
Deaths,Russian Federation,Male,All ages,Non-communicable diseases,Rate,2002,1351.4929710736162,1355.0884063083115,1348.4442002575258
Deaths,Russian Federation,Female,All ages,Non-communicable diseases,Rate,2002,1229.532354136944,1233.4534617666188,1225.6511119219397
Deaths,Russian Federation,Male,All ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2002,103.76617406084678,105.18997448441803,102.65975307594904
Deaths,Russian Federation,Female,All ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2002,30.82834963864402,31.755877759005887,30.11705288892056
Deaths,Russian Federation,Male,All ages,Injuries,Rate,2002,333.00088564941086,334.8202615493088,330.703748149234
Deaths,Russian Federation,Female,All ages,Injuries,Rate,2002,82.00683267776009,82.7998871594248,80.86972234890564
Deaths,Russian Federation,Male,All ages,Non-communicable diseases,Rate,2001,1300.2708953872752,1303.7307184270198,1296.6170229201323
Deaths,Russian Federation,Female,All ages,Non-communicable diseases,Rate,2001,1204.0810694531458,1207.9614425623975,1199.9548376822918
Deaths,Russian Federation,Male,All ages,Total cancers,Rate,2000,244.9747302538257,249.0726509238395,241.670175624679
Deaths,Russian Federation,Female,All ages,Total cancers,Rate,2000,173.57168747289467,176.0776369254348,169.38587167412987
Deaths,Russian Federation,Male,All ages,Total cancers,Rate,2002,247.44836676838426,251.93801234592547,243.5386632864502
Deaths,Russian Federation,Female,All ages,Total cancers,Rate,2002,178.334632323459,181.24192909519445,173.9506522691854
Deaths,Russian Federation,Male,All ages,Non-communicable diseases,Rate,1999,1188.4871378525309,1192.5050458556022,1184.6210320627151
